Provinsi,Tahun,PDRB,UMP,IPM,Investasi,KRT
Lampung,2021,40806.71,"2,432,001.57",69.9,10513.2,3877266.46
Kep. Bangka Belitung,2021,58406.07,"3,230,023.66",71.69,3677.4,5534188.02
Kep. Riau,2021,131883.8,"3,005,460.00",75.79,9768.7,6636732.59
Dki Jakarta,2021,274659.6,"4,416,186.55",81.11,54708.2,8128863.56
Jawa Barat,2021,45234.18,"1,810,351.36",72.45,59948.5,5042941.48
Jawa Tengah,2021,38568.08,"1,798,979.12",72.16,31311.2,3975611.9
Di Yogyakarta,2021,40516.0,"1,765,000.00",80.22,2761.3,4966238.97
Jawa Timur,2021,59988.44,"1,868,777.08",72.14,52552.2,4116665.42
Banten,2021,55383.29,"2,460,996.54",72.72,25989.5,5883642.54
Bali,2021,50758.32,"2,494,000.00",75.69,6355.2,5684950.69
Nusa Tenggara Barat,2021,26009.17,"2,183,883.00",68.65,9090.5,4243257.73
Nusa Tenggara Timur,2021,20554.99,"1,950,000.00",65.28,3742.6,3751413.73
Kalimantan Barat,2021,42252.66,"2,399,698.65",67.9,10773.4,4692712.61
Kalimantan Tengah,2021,62833.77,"2,903,144.70",71.25,6359.8,5048915.97
Kalimantan Selatan,2021,48065.95,"2,877,448.59",71.28,11003.9,5043710.48
Kalimantan Timur,2021,183157.5,"2,981,378.72",76.88,30297.4,6423866.49
Kalimantan Utara,2021,157091.7,"3,000,804.00",71.19,3792.5,6118321.47
Sulawesi Utara,2021,54034.12,"3,310,723.00",73.3,3480,4552948.91
Sulawesi Tengah,2021,82016.81,"2,303,711.00",69.79,3012.3,4280614.78
Sulawesi Selatan,2021,59502.64,"3,165,876.00",72.24,12075.4,4440875.3
Sulawesi Tenggara,2021,52436.02,"2,552,014.52",71.66,4334.2,4419680.2
Gorontalo,2021,37086.76,"2,788,826.00",69.0,1004.3,4518515.39
Sulawesi Barat,2021,35195.14,"2,678,863.10",66.36,395.3,3745547.29
Maluku,2021,26153.05,"2,604,961.00",69.71,2939.7,4933086.06
Maluku Utara,2021,40381.06,"2,721,530.00",68.76,2665.3,4870930.99
Papua Barat,2021,74021.65,"3,134,600.00",65.26,635.6,6060732.17
Papua Barat Daya,2021,,,,-,
Papua,2021,54050.61,"3,516,700.00",60.62,910.8,6040474.78
Papua Selatan,2021,,,,-,
Papua Tengah,2021,,,,-,
Papua Pegunungan,2021,,,,-,
Aceh,2022,38900.18,"3,166,460.00",72.8,4424.2,4917624.46
Sumatera Utara,2022,62922.26,"2,522,609.94",72.71,22789.2,4881078.94
Sumatera Barat,2022,50264.02,"2,512,539.00",73.26,2559.8,5640747.23
Riau,2022,151258.97,"2,938,564.01",73.52,43062,5774366.46
Jambi,2022,76164.32,"2,698,940.87",72.14,8882.7,4972120.28
Sumatera Selatan,2022,68237.45,"3,144,446.00",70.9,23526,4626365.08
Bengkulu,2022,43756.98,"2,238,094.31",72.16,6957.3,4689885.28
Lampung,2022,44983.67,"2,440,486.18",70.45,5809.2,4166400.59
Kep. Bangka Belitung,2022,63871.65,"3,264,884.00",72.24,6309,6231469.07
Kep. Riau,2022,145579.01,"3,050,172.00",76.46,4817.4,6626465.84
Dki Jakarta,2022,299674.52,"4,641,854.00",81.65,89223.6,9156272.74
Jawa Barat,2022,49136.9,"1,841,487.31",73.12,80808.3,5409408.73
Jawa Tengah,2022,41946.05,"1,812,935.43",72.79,24992.3,4386872.65
Di Yogyakarta,2022,44637.15,"1,840,915.53",80.64,2275,5692577.92
Jawa Timur,2022,66246.91,"1,891,567.12",72.75,65355.9,4500675.63
Banten,2022,61413.76,"2,501,203.11",73.32,31283.9,6336590.28
Bali,2022,56091.82,"2,516,971.00",76.44,6002.1,6054777.0
Nusa Tenggara Barat,2022,28670.72,"2,207,212.00",69.46,11031.5,4309553.61
Nusa Tenggara Timur,2022,21656.83,"1,975,000.00",65.9,3459.3,4220805.4
Kalimantan Barat,2022,46092.06,"2,434,328.19",68.63,9382.9,5121370.09
Kalimantan Tengah,2022,72988.52,"2,922,516.00",71.63,6556.8,5322470.58
Kalimantan Selatan,2022,60244.41,"2,906,473.32",71.84,12310.4,5317314.9
Kalimantan Timur,2022,238916.99,"3,014,497.22",77.44,39595.6,6962304.81
Kalimantan Utara,2022,192588.32,"3,016,738.00",71.83,7526.4,6554135.66
Sulawesi Utara,2022,59020.57,"3,310,723.00",73.81,5042.1,4728586.44
Sulawesi Tengah,2022,106068.47,"2,390,739.00",70.28,3758.6,4592027.21
Sulawesi Selatan,2022,65350.37,"3,165,876.00",72.82,7528,4783129.77
Sulawesi Tenggara,2022,58714.73,"2,576,016.96",72.23,7596,4794937.03
Gorontalo,2022,39693.74,"2,800,580.00",69.81,1113.5,4777728.88
Sulawesi Barat,2022,37068.1,"2,678,863.10",66.92,1313.3,4235030.38
Maluku,2022,28525.64,"2,619,312.83",70.22,611,5406138.91
Maluku Utara,2022,53776.27,"2,862,231.00",69.47,3414.9,5085367.72
Papua Barat,2022,78132.75,"3,200,000.00",65.89,2139.1,6327027.44
Papua Barat Daya,2022,,,,-,
Papua,2022,59383.62,"3,561,932.00",61.39,1311.8,6975568.21
Papua Selatan,2022,,,,-,
Papua Tengah,2022,,,,-,
Papua Pegunungan,2022,,,,-,
Aceh,2023,41424.37,"3,413,666.00",73.4,8883.3,5339208.0
Sumatera Utara,2023,68305.71,"2,710,493.93",73.37,21574.0,5452951.0
Sumatera Barat,2023,54326.76,"2,742,476.00",73.75,4488.2,6037493.0
Riau,2023,154522.28,"3,191,662.53",74.04,48243.3,6572426.0
Jambi,2023,79835.78,"2,943,033.08",72.77,8939.0,5836743.0
Sumatera Selatan,2023,71950.37,"3,404,177.24",71.62,25602.4,5083281.0
Bengkulu,2023,46285.28,"2,418,280.00",72.78,7218.7,5302230.0
Lampung,2023,48194.22,"2,633,284.59",71.15,7625.8,4582242.0
Kep. Bangka Belitung,2023,67885.26,"3,498,479.00",72.85,7961.4,6819768.0
