Date,BIRate_inPercentage,USPrimeRate_inPercentage,ExchangeRate_USDtoIDR,ForeignExchangeReserves_inMillionUSD,ForeignExchangeReserves_MonetaryGold_inMillionUSD,ForeignExchangeReserves_SDRs_inMillionUSD,ForeignExchangeReserves_RPF_inMillionUSD,ForeignExchangeReserves_Others_inMillionUSD,SuratUtangNegaraSUN_inMillionIDR,SuratBerhargaSyariahNegaraSBSN_inMillionIDR,OutstandingShares_inMillion,SharesTransactionValue_inMillionIDR,OperasiMoneter_Konvensional_OPT_inMillionIDR,OperasiMoneter_Konvensional_StandingFacility_inMillionIDR,OperasiMoneter_Syariah_OPT_inMillionIDR,OperasiMoneter_Syariah_StandingFacility_inMillionIDR,PosisiPerusahaanPembiayaaan_Pembiayaan_inBillionIDR,PosisiPerusahaanPembiayaaan_Kewajiban_inBillionIDR,PosisiPerusahaanPembiayaaan_Obligasi_inBillionIDR,BroadMoney_M1_inBillionIDR,BroadMoney_Kuasi_inBillionIDR,BroadMoney_SecuritiesNonShares_inBillionIDR,BroadMoney_Deposits_inBillionIDR,BroadMoney_Securities_inBillionIDR,BroadMoney_Liabilities_inBillionIDR,BroadMoney_Shares_inBillionIDR,OSL_Persero_IndustryGeneral_inBillionIDR,OSL_Persero_NonIndustryGeneral_inBillionIDR,OSL_Pemda_IndustryGeneral_inBillionIDR,OSL_Pemda_NonIndustryGeneral_inBillionIDR,OSL_Private_IndustryGeneral_inBillionIDR,OSL_Private_NonIndustryGeneral_inBillionIDR,OSL_Foreign_IndustryGeneral_inBillionIDR,OSL_Foreign_NonIndustryGeneral_inBillionIDR,OSL_Rural_IndustryGeneral_inBillionIDR,OSL_Rural_NonIndustryGeneral_inBillionIDR,Export_GasAndOil_inThousandUSD,Export_NonGasAndOil_inThousandUSD,Import_GasAndOil_inThousandUSD,Import_NonGasAndOil_inThousandUSD,OSL_Persero_IndustryInvestation_inBillionIDR,OSL_Pemda_IndustryInvestation_inBillionIDR,OSL_Private_IndustryInvestation_inBillionIDR,OSL_Foreign_IndustryInvestation_inBillionIDR,OSL_Rural_IndustryInvestation_inBillionIDR,OSL_Persero_IndustryWorkingCapital_inBillionIDR,OSL_Pemda_IndustryWorkingCapital_inBillionIDR,OSL_Private_IndustryWorkingCapital_inBillionIDR,OSL_Foreign_IndustryWorkingCapital_inBillionIDR,OSL_Rural_IndustryWorkingCapital_inBillionIDR,OSL_Persero_AGGREGATEConsumption_inBillionIDR,OSL_Pemda_AGGREGATEConsumption_inBillionIDR,OSL_Private_AGGREGATEConsumption_inBillionIDR,OSL_Foreign_AGGREGATEConsumption_inBillionIDR,OSL_Rural_AGGREGATEConsumption_inBillionIDR,Inflation,OutstandingPrivateDeposit_Rupiah_inBillionIDR,OutstandingPrivateDeposit_Valas_inBillionIDR,OSL_Rupiah_inBillionIDR,OSL_Valas_inBillionIDR,OutstandingDemandDeposit_Rupiah_inBillionIDR,OutstandingDemandDeposit_Valas_inBillionIDR,OutstandingSavingDeposit_Rupiah_inBillionIDR,OutstandingSavingDeposit_Valas_inBillionIDR,OutstandingTimeDeposit_Rupiah_inBillionIDR,OutstandingTimeDeposit_Valas_inBillionIDR,SavingDepositInterestRate_Persero_inPercentage,SavingDepositInterestRate_Pemda_inPercentage,SavingDepositInterestRate_Private_inPercentage,SavingDepositInterestRate_Foreign_inPercentage,SavingDepositInterestRate_General_inPercentage
10/01/2013,7.25,3.25,11234,96996,3400.25,2718.61,224.6,90652.21,896175,119407,100552,111165,173673,108314.5,5222,11495,338348.36,233939.7,51392.91,856171.21,2697733.6,22964.55,-245702.95,-2036.2,-42630.12,-849573.93,784092.85,318925.24,87230.63,173154.55,1026104.99,368921.72,341415.06,34933.15,30795.91,27335.02,2524227.37,13151367.93,3429530,12298815.5,253992.66,29019.31,375157.11,90444.07,3525.96,530100.23,58208.66,650929.37,250971.01,27269.96,318925.24,173157.21,368940.22,34933.16,27335.02,8.32,2850498.54,577208.68,2699654.11,493255.02,529958,254919.67,1047542.07,82585.87,1272998.47,239703.14,1.51,2.28,2.22,0.8,1.86
11/01/2013,7.5,3.25,11977,99960,3126.05,2703.9,223.4,90906.8,915175,119697,89003,97942,200692,104933.6,5517,12781,344025,238959.19,52821.01,870412.35,2720944.59,24692.26,-258161.24,-2232.94,-45313.76,-894228.53,799209.53,321481.14,88302.56,175058.44,1036553.77,370409.45,360241.35,35289.56,29821.51,28925.57,2530306.83,13092274.92,3870538,11162298.45,259816.21,29382.59,383629.07,94907.49,3461.84,539393.32,58917.08,652907.04,265333.86,26912.82,321481.15,175061.35,370427.08,35289.55,28372.42,8.37,2876153.81,589499.73,2713506.53,531776.54,535496.39,274192.23,1063337.5,84481.66,1277319.93,230825.84,1.5,2.27,2.22,0.84,1.86
12/01/2013,7.5,3.25,12189,99387,3023.14,2712.33,224.1,93427.13,908078,118707,94061,92131,192119,110834.8,5652,16267,348027.43,243356.77,53210.89,887083.5,2820520.52,22805.32,-277264.35,-2315.57,-47947.48,-920793.39,829918,326229.12,86373.18,177369.77,1085474.97,369236.55,354866.69,35084.02,29927,29310.69,3103122.22,13675144,4028669,11061061.88,268934.94,28942,402794.54,89930.99,3474.92,560983.06,57428.98,682663.53,264935.7,26938.23,326229.11,177371.96,369253.4,35084.03,28824.55,8.38,2970851.73,607355.86,2775748.18,548041.82,536537.38,260705.88,1135311.89,86717.45,1299002.46,259932.53,1.52,2.31,2.28,0.77,1.89
01/01/2014,7.5,3.25,12226,100651,3172.48,2711.4,224,94543.5,942023.14,117668.79,78078,96886,210630,90230.2,5417,11826.5,350897.24,244427.25,52643.7,842677.91,2787448.74,22222.63,-269249.11,-2272.73,-48301.29,-935973.14,806898.76,326819.06,81161.38,178083.86,1056553.08,370678.32,373395.63,35668.16,32875.38,31039.84,2040392.2,12077494.57,3788921.81,11271728.22,269170.22,29904.58,394261.2,97999.65,4171.2,537726.46,51254.41,662151.17,275395.96,29192.11,326821.15,178086.26,370819,35668.15,30551.89,8.22,2926953.95,588394.17,2751639.82,541533.57,503642.27,255952.58,1100239.83,86501.4,1323071.85,245940.2,1.5,2.3,2.27,0.74,1.88
02/01/2014,7.5,3.25,11634,102741,3343.78,2714.67,224.3,96458.18,966273.14,111687.38,89697,112517,209526,95751,6037,11299.5,351005.03,239226.88,53084.71,834532.41,2787035.11,13492.86,-272399.55,-2261.05,-45287.55,-908650.69,809935.06,329540.95,82160.67,180414.84,1063363.93,370543.78,366886.75,35122.92,34009.76,31309.16,2567923.08,12058841.17,3512211.89,10276664.89,274885.04,30020.15,393783.46,98877.91,4292.5,535050.03,52137.96,669562.84,268008.82,29722.87,329540.96,180417.39,370561.38,35122.93,31303.57,7.75,2947186.7,576903.3,2784970.84,518317.02,509397.18,254912.41,1099318.82,85789.66,1338470.7,236201.23,1.51,2.29,2.26,0.95,1.88
03/01/2014,7.5,3.25,11404,102592,3252.8,2721.32,224.8,96392.94,975977.17,132296.73,115970.88,147669.02,220548.5,77368,5677,13514.6,352447.04,237389.35,53145.4,853502.4,2785176.08,13852.07,-271010.94,-2253.35,-44584.94,-902086.19,819604.9,332290.18,84312.74,182839.2,1105729.49,370323.77,348311.53,33378.15,34805.84,31784.73,2513904.99,12678600.26,3547719.27,10476227.65,278316.34,30187.02,405025.87,89824.78,4312.71,541288.55,54123.15,700688.5,258486.72,30494.24,332290.16,182841.78,370338.87,33378.16,31783.61,7.32,2968111.22,560999.87,2825525.45,517855.04,518026.06,238914.88,1081342.81,86162.12,1368742.35,235922.87,1.51,2.36,2.25,0.77,1.88
04/01/2014,7.5,3.25,11532,105563,3257.19,2730.96,225.6,99349.03,990877.17,134436.73,108672.57,137940,202578.5,118837,6927,10689.4,353316.57,238594.82,51179.69,880470.3,2828686.33,12725.75,-270710.27,-2257.56,-44962.59,-914405.15,834621.36,335406.24,86655.24,185000.36,1127867.81,368088.18,356705.85,33974.13,35334.98,32239.74,2349062.99,11896865.69,3891951.31,12576710.88,281425.19,31160.2,414961.32,91364.05,4438.68,553196.19,55492.29,712891.46,265341.8,30897.39,335406.23,185003.12,368103.21,33974.13,32238.63,7.25,3040455.25,564377.16,2861784.24,534109.65,548203.23,243944.6,1090276.31,86873.42,1401975.71,233559.14,1.51,2.33,2.27,0.8,1.88
05/01/2014,7.5,3.25,11611,107048,3149.89,2713.56,224.2,100959.99,1013991.93,135786.73,90306.28,112281,207752.5,106296.9,7551,11910.5,357064.06,242067.16,51693.4,906726.69,2860134.66,14093.93,-269779.61,-2215.75,-46531.83,-921849.48,836488.36,340389.47,88910.36,188617.09,1133637.95,382424.78,365355.41,34403.89,36194.26,32651.64,2240233.34,12677922.16,3904651.61,11335496.29,288116.43,31760.66,423189.13,91676.77,4570.23,548371.93,57149.57,710448.75,273678.66,31625.12,340389.47,188617.26,382424.86,34403.88,32650.54,7.32,3052415.64,602858.47,2901527,537546.25,566333.3,264295.64,1079751.07,88264.4,1406331.27,250298.43,1.51,2.23,2.02,0.82,1.77
06/01/2014,7.5,3.25,11969,107678,3306.76,2719.44,224.7,101427.2,1032691.93,136861.73,96246,105589,206947,116212.4,7936,11807.7,360931.3,251328.35,51301.41,945717.83,2903415.24,8828.71,-267640.45,-2220.04,-44363.15,-967243.08,857587.01,347660.01,90809.15,191167.99,1157877.58,384768.94,370505.81,34959.5,37051.18,33174.03,2455064.3,12885415.05,3421826.38,12403198.18,291063.52,31658.17,432154.47,91017.78,4666.82,566523.48,59150.81,725723.09,279488.03,32384.36,347660.02,191168.15,384768.93,34959.51,33174.02,6.7,3138919.02,593338.88,2963101.98,542459.22,609767.66,246784,1092120.76,86796.27,1437030.6,259758.61,1.53,2.21,1.85,0.86,1.69
07/01/2014,7.5,3.25,11591,110542,3244.64,2708.45,223.8,104365.55,1050841.93,138266.73,116637.83,132829.93,110826.5,131193,6090,10389.8,363185.42,249494.86,50130.72,918565.8,2959731.62,9110.06,-250190.07,-2222.29,-54191.18,-944311.99,865406.2,347602.51,91774.35,192773.87,1155918.87,390605.73,379538.95,34980.94,37427.61,33447.35,2330795.92,11843830.94,3900050.67,9990611.15,293263.88,31924.7,425342.07,90276.81,4718.96,572141.89,59848.06,730576.07,289262.13,32708.65,347602.96,192775.45,390606.44,34980.94,33447.35,4.53,3096956.49,584230.44,2992750.27,536726.08,506113.99,241083.45,1124861.92,90504.33,1465980.58,252642.66,1.48,2.2,1.99,0.94,1.74
08/01/2014,7.5,3.25,11717,111224,3200.9,2673.68,220.9,105128.16,1072341.93,138815.73,109811.26,115658.83,229938,96344.2,7120,10690.9,363484.78,248982.86,50003.81,895827.12,2982674.31,8018.53,-267665.72,-2222.53,-46276.64,-959649.48,870366.35,349597.82,93311.4,193831.74,1151686.09,389919.86,376927.11,35143.16,37400.08,33585.25,2298825.98,12069092.98,3427498.29,11426327.89,296471.38,31994.88,425950.72,91059.71,4854.26,573890.34,61311.34,725739.08,285867.4,32545.81,349602.45,193836.93,389916.12,35143.17,33585.25,3.99,3157739.2,587455.27,2988752.08,543016.79,539376.52,244007.9,1114801.53,90333.01,1503561.14,253114.36,1.5,2.24,1.99,0.93,1.76
09/01/2014,7.5,3.25,12212,111164,3060.79,2619.4,216.4,105267.87,1092341.93,144640.73,127460,131523,234890.25,144649,7740.04,13723.2,365893.47,253209.44,50061.03,949168.33,3044841.88,16136.45,-277050.25,-2218.77,-48160.5,-988486,886812.61,354023.24,94978.85,197715.76,1175117.81,392305.05,386398.87,35912.27,37925.49,33955.22,2179694.29,12883570.46,3584614.33,12011093.42,301315.98,31951.7,431377.24,94838.8,4861.6,585496.23,63020.94,743740.24,291560.08,33063.9,354023.63,197721.96,392305.38,35912.27,33955.22,4.53,3260571.27,615929.81,3029017.83,566127.35,601099.76,256241.25,1127220.32,90884.09,1532251.2,268804.47,1.51,2.21,2.01,0.98,1.77
10/01/2014,7.5,3.25,12082,111973,3016.87,2607.84,215.5,106132.39,1107289.36,144705.73,114011,133423,260714.25,153494.3,8202.47,16643,364524.35,251077.48,50747.87,940348.73,3066421.47,17718.67,-280587.6,-2347.4,-48286.55,-991549.26,874889.37,358258.33,95328.09,200921.64,1178207.87,395088.94,382357.19,35370.97,37871.76,34322.27,2216088.2,13130735.46,3438364.18,11762883.26,300324.46,31453.21,431003.71,93767.5,4945.6,574564.63,63867.03,747203.57,288589.7,32926.14,358258.6,200929.44,395089.53,35370.97,34322.27,4.83,3277315.86,613252.24,3037561.07,555055.34,590315.35,269085.99,1125606.46,88110.14,1561394.04,256056.12,1.5,2.18,2.02,0.9,1.76
11/01/2014,7.75,3.25,12196,111144,2998.67,2578.69,213,105353.18,1112059.36,144425.73,111326,99886,286894.25,145803.7,7670.51,17613.6,364149,249287.64,51144.21,955534.99,3099350.37,21784.52,-282178.98,-2312.1,-52814.78,-1006375.91,887042.57,362762.63,96211.17,203549.92,1190648.82,398715.49,383955.08,35757.77,38356.84,34175.32,1799117.88,11709234.03,3229672.25,10610596.26,304548.69,34170.97,434922.74,95030.9,5018.81,582493.76,62034.39,755724.85,288924.21,33338.04,362762.74,203555.73,398716.7,35757.77,34175.32,6.23,3312391.61,621511.37,3068911.26,562264.38,601315.53,271702.43,1138045.84,91898.36,1573030.24,257910.58,1.51,2.18,2.03,0.96,1.77
12/01/2014,7.75,3.25,12440,111862,3026.91,2550.76,210.7,106073.23,1101648.13,143900.73,168797,127190,279987.67,98851.1,9372.47,21977.5,366138.02,255068.5,53159.66,942221.34,3209475.23,21629.93,-281031.04,-2145.44,-49888.64,-1027314.64,918994.99,370777.97,93195.33,205699.27,1219774.85,400717.76,389459.03,35991.54,38547.98,34757.61,1960961,12429128,2939067.39,11085019.95,313258.67,34578.12,444178.82,97546.91,5083.04,605736.08,58609.72,775595.36,291912.13,33464.94,370778.22,205706.76,400718.44,35991.55,34757.61,8.36,3375950.09,637866.48,3126393.64,581522.7,576870.2,268797.17,1204109.84,94216.54,1594970.05,274852.77,1.41,2.18,2.11,0.93,1.76
01/01/2015,7.75,3.25,12625,114250,3184.4,2481.3,205,108378.82,1127948,152091,147941,136604,293634,106200.5,8497.2,16616.9,367353.91,252573.64,54229.66,918079.49,3233880.64,22865.77,-253578.35,-2147.81,-46937.62,-1060135.47,905231.52,371477.51,88364.71,206202.72,1200806.37,399033.01,387397.93,35770.14,38442.05,34996.32,1370332.06,11388893.98,1794504.29,10528680.61,315980.5,34345.87,445490.16,99475.32,5161.61,589262.46,54012.77,755316.21,287922.6,33280.44,371466.08,206208.77,399033,35770.13,34996.32,6.96,3346373.94,663858.08,3078329.03,589393.25,561611.54,283322.09,1142565.95,94815.23,1642196.45,285720.76,1.39,2.19,2.07,0.87,1.72
02/01/2015,7.5,3.25,12863,115527,3032.56,2490.5,205.8,109798.47,1149498,154196,117029,130600,296680,118453.5,9816.47,17173.2,366310.84,255148.76,51886.85,927847.53,3278944.55,11330.68,-247562.9,-2176.59,-50511.62,-1074954.24,909011.67,374337.16,89208.65,208096.05,1209557.7,399423.54,399412.02,36047.14,39090.48,35372.25,1407468.31,10529695.23,1767144.65,9851042.99,317563.45,34680.38,444875.68,103477.3,5252.24,591448.18,54522.95,764682.22,295934.72,33838.23,374337.22,208101.35,399423.36,36047.15,35372.25,6.29,3398717.19,669120.9,3105752.81,593803.87,576563.38,275753.75,1135301.05,95243.11,1686852.77,298124.04,1.39,2.17,2.15,1.08,1.76
03/01/2015,7.5,3.25,13084,111554,2975.46,2436.47,201.3,105940.43,1162648,178426,137569,141351,259715,141234.2,9410,16367.5,369803.78,258748.53,51784.71,957580.46,3275498.61,13282.12,-253917.23,-2042.52,-50259.16,-1076709.98,905476.69,379377.87,90399.19,210558.02,1218160.33,400281.53,399192.51,35766.47,39610.58,35932.41,1525467.95,11740545.91,2349049.73,10371219.15,319764.99,34741.37,451627.29,104358.43,5364.5,585720.05,55657.55,766533.02,294834.1,34246.1,379369.54,210558.32,400281.53,35766.47,35932.41,6.38,3424240.01,681777.04,3133517.49,581238.15,614628.18,286433.66,1119305.97,96927.66,1690305.85,298415.72,1.39,2.18,2.12,0.82,1.74
04/01/2015,7.5,3.25,12937,110867,3034.44,2460.32,203.3,105169.05,1174544,180556,142273,150385,222478.5,98886.5,9530,15799.3,368654.32,253762,57599.04,959376.46,3302203.6,14131.06,-258229.38,-2089.41,-50083.58,-1058063.78,912270.17,382407.99,91784.82,212849.28,1228327.95,402065.14,404891.57,36130.5,40240.13,36347.92,1579812.38,11701383.28,2190612,10329256.86,321442.18,34953.17,450992.06,102340.89,5514.66,590827.98,56830.93,777335.46,302550.67,34725.48,382407.99,212849.99,402065.57,36130.49,36347.92,6.79,3431532.49,694453.8,3160973.66,586341.78,602631.26,301377.47,1119634.55,98159.89,1709266.68,294916.44,1.38,2.12,2.11,0.88,1.94
05/01/2015,7.5,3.25,13211,110771,2974.2,2447.16,202.2,105146.98,1190694,185026,114090,115300,210644.5,92727.3,10450.3,13800.4,370154.75,254077.05,54880.11,980915.3,3293146.51,14307.46,-267823.57,-2037.39,-50832.52,-1071826.87,932801.15,385428.86,93438.34,215255.87,1242960.19,401989.52,407974.36,36441.8,40842.04,36913.35,1493600.51,11398352.14,2350305.81,9585481.43,328447.44,35324.74,458232.05,104529.8,5588.47,604353.73,58113.43,784727.72,303444.59,35253.59,385428.86,215256.01,401989.96,36441.8,36913.35,7.15,3426758.86,709281.32,3195893.94,598151.57,612799.61,306721.86,1114376.65,98657.21,1699582.6,303902.25,1.39,2.12,2.09,0.85,1.73
06/01/2015,7.5,3.25,13332,108030,2951.61,2471.14,204.2,102402.65,1202616,189406,115989,104000,190699.5,115685.9,8865,11719.5,369898.78,257133.72,55568.01,1039517.98,3305640.77,13642.77,-286011.77,-1783.52,-52198.96,-1082894.67,964254.66,390804.04,94902.85,218218.41,1259689.51,408632.11,412756.88,36934.61,41608.74,37595.32,1633596.85,12124631.39,2564554.36,10465016.45,331793.06,34445.97,459878.37,104907.68,5703.46,632461.6,60456.72,799810.69,307849.2,35905.27,390804.03,218218.57,408632.54,36934.62,37595.32,7.26,3492939.53,731024.51,3259213.97,606183.15,670644.77,331246.02,1130501.66,101998.57,1691793.1,297779.91,1.4,2.13,2.07,0.88,1.72
07/01/2015,7.5,3.25,13481,107553,2729.49,2455.54,202.9,102164.91,1211816,195501,90296,86306,184640.52,135251.7,8777.5,11305.8,369712.48,256188.05,56617.18,1031905.82,3325908.12,15394.15,-261505.15,-1825.2,-56760.75,-1095062.93,955785.69,392684.95,95098.17,219277.91,1258441.42,409875.49,421908.32,37009.06,41685.72,37574.76,1283605.48,10131388.62,2296459.72,7810347.02,333962.65,34820.99,462407.85,109556.78,5688.67,621823.04,60277.11,796033.12,312351.52,35997.05,392684.94,219277.97,409875.92,37009.07,37574.76,7.26,3477580.31,710853.37,3256840.04,612501.43,636536.42,323844.34,1158450.2,102693.7,1682593.69,284315.32,1.38,2.07,2.09,0.9,1.72
08/01/2015,7.5,3.25,14027,105346,2848.71,2479.68,204.9,99812.64,1232165,197876,109775,104230,181474,83967.9,10246.8,11454.2,370846.07,259423.99,58523.78,1026322.91,3362147.57,15614.55,-251017.89,-1798.89,-57759.98,-1138086.69,965104.25,396436.08,96709.47,221594.07,1284587.97,410471.35,423100.15,36986.21,41828,37824.48,1186363.52,11268584.41,2000113.66,10178148.72,342926.92,31343.48,467343.48,112777.9,5704.02,622177.34,65365.93,817244.49,310322.25,36123.99,396436.09,221594.12,410471.35,36986.22,37824.48,7.18,3483051.31,734347.27,3287012.69,627629.34,639575.19,337794.22,1149295.6,107237.51,1694180.52,289315.54,1.38,2.13,2.07,0.9,1.72
09/01/2015,7.5,3.25,14657,101720,2841.43,2473.79,204.4,96199.9,1244365,185630,112610,92182,158568,96180.4,9091,13704.9,371498.98,262716.21,59779.43,1063038.71,3426343.21,19221.25,-258409.09,-1820.45,-63202.62,-1187460.67,991827.14,401488.07,98205.3,224310.24,1305647.82,416513.52,432705.89,37119.56,41824.68,38017.99,1139397.71,11183127.35,1793871.99,9613995.31,348888.39,31266.54,475760.58,114734.33,5776.8,642938.76,66938.69,829896.53,317971.57,36047.85,401488.07,224310.32,416504.24,37119.56,38017.99,6.83,3555107.24,767782.91,3349396.76,638263.45,674864.84,347824.86,1173557.93,123135.78,1706684.47,296822.27,1.39,2.15,2.05,1.09,1.72
10/01/2015,7.5,3.25,13639,100712,2882.84,2453.37,202.7,95173.06,1275035,189110,138593,141394,163939.5,68912,7910,12931.1,364064.17,246193.52,59457.22,1036310.68,3391259.66,15507.75,-247948.98,-1794.72,-52093.82,-1136935.57,986038.31,406409.66,97822.72,226014.36,1291742.89,421281.76,407582.69,37390.03,41667.48,38202.26,1261994.4,10796404.86,1830150.83,9386723.51,350173.68,31149.87,472317.87,111302.43,5820.47,635864.64,66672.73,819445.75,296280.26,35846.98,406409.65,226014.47,421261.03,37390.02,38202.26,6.25,3522510.39,717112.86,3374390.56,579761.62,641190,319246.36,1169469.32,117167.46,1711851.08,280699.04,1.38,2.13,2,0.88,1.69
11/01/2015,7.5,3.25,13840,100240,2653.94,2418.84,199.9,94967.77,1294326,199964,93912,102170,162237.5,79674.2,7080,13596.8,363649.86,243252.09,59981.04,1051190.74,3386209.23,14924.68,-249844.73,-1718.56,-52581.65,-1157211.44,1000199.81,413906.08,97311.31,227440.72,1297544.49,424545.35,398926.37,37837.05,41867.25,38419.92,1360735.16,9716407.25,1482814.13,9895745.78,360694.21,31263.53,473170.81,111897.09,5875.91,639505.61,66047.54,824373.7,287029.27,35991.34,413906.09,227440.96,424545.32,37837.06,38419.92,4.89,3545957.14,702304.55,3404887.44,573110.93,657358.19,306463.59,1193859.91,118758.13,1694739.03,277082.83,1.4,2.13,2.02,0.9,1.7
12/01/2015,7.5,3.5,13795,105931,2660.62,2442.26,201.8,100626.35,1327436,201017,126237,101838,72386.5,94055.3,6680,18001.6,363273.07,244909.3,60788.3,1055439.82,3479961.39,13399.06,-261934.11,-1753,-57716.12,-1173000.88,1063984.12,423469.4,96560.14,229442.04,1340210.47,414212.68,396624.19,38133.54,42020.36,38493.05,1151502.99,10751190.06,1606776.91,10336910.09,386188.27,33167.26,487620.92,112116.73,6007.03,677795.86,63392.85,852589.57,284507.47,36013.31,423469.4,229442.09,414212.69,38133.55,38493.05,3.35,3632440.13,702828.72,3498815.28,584334.73,634409.64,302679.28,1293463.87,118155.91,1704566.62,281993.53,1.42,2.06,2.07,0.91,1.73
01/01/2016,7.25,3.5,13846,102134,2796.16,2434.43,201.1,96702.21,1342535.65,207732.4,79156,100014,187435,89302.5,7905,14154.8,365176.54,243268.62,60722.35,1046257.23,3436491.53,15612.52,-244057.56,-1552.69,-55103.82,-1202935.52,1033323.05,423694.07,90894.18,230020.5,1307456.39,414671.99,390650.79,38220.73,41725.54,38672.18,786797.16,9433184.64,1186933.08,9252033.14,388809.27,33048.5,484695.31,112505.55,6028.74,644513.77,57845.39,822760.63,278145.27,35696.8,423694.06,230020.76,414672.43,38220.73,38672.18,4.14,3599965.06,688931.69,3435377.74,573886.95,646163.61,294005.13,1237001.24,115636.37,1716800.21,279290.18,1.41,2.06,2.06,0.91,1.72
02/01/2016,7,3.5,13395,104544,3078.54,1553.33,1093.8,98818.06,1350367.36,198544.38,94791,118001,219699.5,111802.4,9467.5,14580.1,364139.23,240048.54,59974.94,1035550.68,3473032.74,13367.78,-242135.82,-1170.3,-57487.84,-1186860.85,1023458.95,425547.4,91037.71,232051.52,1304129.42,415547.54,386209.41,38315.29,42118.22,39060.78,847433.12,10270083.38,1106803.52,9067447.9,391238.72,32963.23,479984.56,110418.01,6159.78,632220,58074.37,824143.82,275791.39,35958.44,425547.65,232051.61,415548.6,38315.29,39060.78,4.42,3655415.23,676979.83,3443132.46,554280.28,654037.09,297784.48,1236898.54,115320.52,1764479.59,263874.83,1.41,2.06,2.03,1,1.71
03/01/2016,6.75,3.5,13276,107543,3103.01,1573.58,1108.08,101757.92,1376354.74,302747.76,131300,130137,263945.2,95713.5,8099.5,15833.6,364404.62,238483.24,59728.25,1064737.89,3483693.59,13441.04,-228029.37,-1175.04,-49895.97,-1216669.7,1040859.64,431823.7,91336.73,234126.23,1308495.76,415468.18,386027.51,37953.3,42548.96,39615.32,1095175.01,10609057.01,1653057.13,9831792.73,392540.69,32184.53,482526.43,108393.35,6225.25,648318.94,59148.68,825938.31,277634.16,36323.69,431823.71,234129.77,415499.18,37953.3,39615.32,4.45,3695390.21,657710.11,3482736.02,545459.11,686570.21,286029.54,1225762.55,115365.7,1783057.59,256314.87,1.31,2.05,2.02,0.89,1.66
04/01/2016,6.75,3.5,13204,107711,3152.58,1581.25,1113.49,101863.41,1401857.64,250989.38,114330,122304,280728.4,51432.1,10069.3,13549.7,364708.4,232480.83,63554.87,1089212.2,3479713.44,12952.23,-239767.62,-1178.16,-49053.07,-1215643.7,1047778.95,430535.59,93097.8,236906.05,1308097.38,418112.91,381860.93,37756.94,43175.94,40063.49,951622.21,10648147.69,1484269.52,9480930.3,400129.6,32430.57,480220.44,107716.01,6285.2,647649.36,60665.27,827876.15,274144.92,36890.74,430535.59,236908.04,418113.71,37756.93,40063.49,3.6,3733457.44,640654.74,3501884.72,535445.06,693744.33,278679.43,1241944.52,113431.96,1797768.6,248543.35,1.24,2.01,1.96,0.97,1.6
05/01/2016,6.75,3.5,13615,103591,3052.81,1572.58,1107.48,97858.4,1407340.05,260259.38,94130,109362,256193.4,78299.3,9285,15238.1,367831.55,236455.79,62506.38,1118768.26,3483441.77,11851.79,-238271.2,-1201.2,-54488.22,-1244902.28,1074059.71,435262.75,95020.28,240654.44,1323213.76,419709.48,390414.75,37657.92,43899.93,40572.23,938709.82,10685699.82,1604142.25,9501915.64,404729.42,32501.21,482819.54,109321.7,6422.51,669330.29,62520.78,840394.74,281093.04,37477.41,435262.75,240652.73,419708.98,37657.92,40572.23,3.33,3770040.82,625495.23,3543663.93,556746.32,720489.23,267565,1247103.99,114382.19,1802447.59,243548.04,1.25,1.96,1.93,0.92,1.59
06/01/2016,6.5,3.5,13180,109789,3316.99,1561.44,1099.63,103810.66,1432834.88,255645.38,143031,135492,161915.6,134596.5,9322.3,14251.5,372897.95,242268.5,66538.05,1184328.91,3539326.36,13795.95,-245629.79,-1356.58,-51698.14,-1265819.08,1127773.6271,444969.5566,97910.5292,244077.3151,1350216.0719,420746.1986,391398.3697,37553.1021,44884.5889,41259.4594,1165700.79,11897236.71,1816581.64,10362465.88,417254.0994,32311.1223,488984.4896,105134.0954,6539.0227,710519.5273,65595.6676,861231.5821,286264.2741,38345.5663,444969.56,244081.05,420746.2,37553.1,41259.46,3.45,3820884.38,635085.4,3654799.61,545990.84,719730.23,282217.92,1317525.79,115728.36,1783622.31,237139.12,1.3,1.92,2.05,1.81,1.67
07/01/2016,6.5,3.5,13094,111409,3367.82,1555.23,1095.26,105390.4,1455663.1,261600.41,107755,128653,269415.1,64519.7,10582.3,17469.3,371031.93,236500.23,66847.97,1144500.83,3573996.94,11881.91,-234879,-2042.72,-47147.79,-1250875.86,1118816.0184,443021.6483,97828.783,244374.6091,1326653.5496,420159.893,389311.206,37707.3377,44504.4567,41086.0174,946935.36,8620093.53,1578395.34,7483047.68,418197.3524,32171.2238,482310.0339,106029.4531,6468.684,700601.5596,65657.5594,844343.5156,283281.7528,38035.7727,443038.75,244374.61,420159.89,37707.34,41086.02,3.21,3838089.66,635543.16,3618673.28,544790.24,709049.35,275900.84,1303450.5,119337.87,1825583.74,240304.45,1.3,1.97,2.05,1.86,1.68
